,train,source,dest,dist
1767,KALKA MAIL     ,KALKA          ,HOWRAH JN      ,1743
1768,NAGPUR GARIBRAT,PUNE JN        ,NAGPUR         ,890
1769,PURI  ADI EXP  ,PURI           ,AHMEDABAD JN   ,1992
1770,PDY NDLS EXPRES,PUDUCHERRY     ,NEW DELHI      ,2383
1771,JP OKHA EXP    ,JAIPUR         ,OKHA           ,1056
1772,CCT  SNSI  EXP ,KAKINADA TOWN  ,SAINAGAR SHIRDI,1339
1773,PALANI EXPRESS ,CHENNAI CENTRAL,PALANI         ,551
1774,HYB RXL EXPRESS,HYDERABAD DECAN,RAXAUL JN      ,2165
1775,JMP HWH EXP    ,JAMALPUR JN    ,HOWRAH JN      ,467
1776,PURI SBP INT EX,PURI           ,SAMBALPUR      ,341
1777,TATA CPR EXP   ,TATANAGAR JN   ,CHHAPRA        ,630
1778,BNC KYQ SUVIDHA,BANGALORE CANT ,KAMAKHYA       ,3019
1779,SUR YPR SUP EXP,SOLAPUR JN     ,YESVANTPUR JN  ,654
1780,LTT CHENNAI  EX,LOKMANYATILAK T,CHENNAI CENTRAL,1268
1781,RATLAM AJMER EX,RATLAM JN      ,AJMER JN       ,375
1782,HWH BPL EXPRESS,HOWRAH JN      ,BHOPAL  JN     ,1459
1783,KYQ YPR AC EXP ,KAMAKHYA       ,YESVANTPUR JN  ,3025
1784,BTC JBP PASS   ,BALAGHAT JN    ,JABALPUR       ,187
1785,CHHAPRA EXPRESS,LOKMANYATILAK T,CHHAPRA        ,1772
1786,SDAH RPH INTRCT,SEALDAH        ,RAMPUR HAT     ,213
1787,JU BTI PASENGER,JODHPUR JN     ,BHATINDA JN    ,601
1788,CSTM CHENNAI EX,MUMBAI CST     ,CHENNAI CENTRAL,1284
1789,KCG DOUBLE DECK,TIRUPATI       ,KACHEGUDA      ,636
1790,AJMER ASR EXP  ,AJMER JN       ,AMRITSAR JN    ,848
1791,RJPB INDB EXPRE,RAJENDRANAGAR T,INDORE JN BG   ,1402
1792,GNT DOUBLE DECK,KACHEGUDA      ,GUNTUR JN      ,288
1793,BSL PUNE EXP   ,BHUSAVAL JN    ,PUNE JN        ,548
1794,PNBE ADI EXP   ,PATNA JN       ,AHMEDABAD JN   ,1671
1795,LTT GKP SUP EXP,LOKMANYATILAK T,GORAKHPUR JN   ,1682
1796,GANGASATLUJ EXP,FIROZPUR CANT  ,DHANBAD JN     ,1599
1797,RNC BGP EXPRESS,RANCHI         ,BHAGALPUR      ,511
1798,PURI GIMB  EXP ,PURI           ,GANDHIDHAM BG  ,2283
1799,SHIVALK DLX EXP,SIMLA          ,KALKA          ,96
1800,KGM LJN EXP    ,KATHGODAM      ,LUCKNOW NE     ,342
1801,MUMBAI EXPRESS ,NAGERCOIL JN   ,MUMBAI CST     ,1882
1802,RU AWB EXPRESS ,RENIGUNTA JN   ,AURANGABAD     ,1159
1803,MAHAKOSHAL EXP ,H NIZAMUDDIN   ,JABALPUR       ,961
1804,UDZ JP SF SPL  ,UDAIPUR CITY   ,JAIPUR         ,430
1805,AK UJN FAST PAS,AKOLA JN       ,UJJAIN JN      ,375
1806,JP UDZ EXP     ,JAIPUR         ,UDAIPUR CITY   ,435
1807,NGP NIR JBP PAS,NAGPUR         ,JABALPUR       ,398
1808,PURI DGHA SUP E,PURI           ,DIGHA FLAG STN ,549
1809,DDN KGM EXPRESS,DEHRADUN       ,KATHGODAM      ,335
1810,HW LTT AC SF   ,HARIDWAR JN    ,LOKMANYATILAK T,1771
1811,RMR BDTS EXP   ,RAMNAGAR       ,BANDRA TERMINUS,2138
1812,SML KLK EXPRESS,SIMLA          ,KALKA          ,96
1813,LJN DOUBLE DKR ,ANAND VIHAR TRM,LUCKNOW NE     ,480
1814,JAT DURG SF EXP,JAMMU TAWI     ,DURG           ,1873
1815,LJN MUV EXP    ,LUCKNOW NE     ,MANDUADIH      ,513
1816,POTHIGAI   EXP ,SENGOTTAI      ,CHENNAI EGMORE ,670
1817,RNC HWH INT EXP,RANCHI         ,HOWRAH JN      ,462
1818,SIMHADRI EXP   ,GUNTUR JN      ,VISAKHAPATNAM  ,383
1819,DBRG  VIVEK EXP,KANYAKUMARI    ,DIBRUGARH      ,4273
1820,DNR BGP SPL    ,DANAPUR        ,BHAGALPUR      ,231
1821,DHD HBJ FAST PA,DAHOD          ,HABIBGANJ      ,400
1822,MANGALA LDWEEP ,ERNAKULAM JN   ,H NIZAMUDDIN   ,3066
1823,MARATHWADA PS E,MANMAD JN      ,DHARMABAD      ,422
1824,MKA HWH  PASS  ,MOKAMEH JN     ,HOWRAH JN      ,455
1825,B G EXPRESS    ,DIMAPUR        ,KAMAKHYA       ,256
1826,SBP RGDA EXPRES,SAMBALPUR      ,RAYAGADA       ,322
1827,JHARKHAND SJ EX,HATIA          ,ANAND VIHAR TRM,1299
1828,INTERCITY      ,SILIGURI JN    ,KATIHAR JN     ,203
1829,BE BHUJ EXP    ,BAREILLY       ,BHUJ           ,1410
1830,RNC LTT EXPRESS,RANCHI         ,LOKMANYATILAK T,2011
1831,SAPTAGIRI EXP  ,TIRUPATI       ,CHENNAI CENTRAL,151
1832,STEEL EXPRESS  ,HOWRAH JN      ,TATANAGAR JN   ,250
1833,POORNA EXPRESS ,ERNAKULAM JN   ,PUNE JN        ,1435
1834,MTM TPTY EXP   ,MACHILIPATNAM  ,TIRUPATI       ,467
1835,BVC ASANSOL EXP,BHAVNAGAR TRMUS,ASANSOL JN     ,2318
1836,PURI YPR G RATH,PURI           ,YESVANTPUR JN  ,1503
1837,PUNE BRMT PASS ,PUNE JN        ,BARAMATI       ,120
1838,LKO BSB INTRCIT,LUCKNOW NR     ,VARANASI JN    ,302
1839,JP AF SHATABDI ,JAIPUR         ,AGRA FORT      ,241
1840,LKO CDG EXPRESS,LUCKNOW NR     ,CHANDIGARH     ,667
1841,PRDP SF EXP    ,VISAKHAPATNAM  ,PARADIP        ,554
1842,SRC  PRDP SF EX,SANTRAGACHI JN ,PARADIP        ,487
1843,NZM KOTA SF SPL,H NIZAMUDDIN   ,KOTA JN        ,458
1844,PVR NAVI KMN SP,PANDHARPUR     ,NEW AMRAVATI   ,807
1845,GANGADAMODAR EX,PATNA JN       ,DHANBAD JN     ,291
1846,MUV JBP EXPRES ,MANDUADIH      ,JABALPUR       ,488
1847,NAVJEEVAN EXP  ,AHMEDABAD JN   ,CHENNAI CENTRAL,1891
1848,NED UHL SF EXP ,H SAHIB NANDED ,UNA HIMACHAL   ,1886
1849,NDLS LDH SHTBDI,NEW DELHI      ,LUDHIANA JN    ,329
1850,VENKATADRI EXP ,CHITTOOR       ,KACHEGUDA      ,708
1851,RPH SDAH INTRCT,RAMPUR HAT     ,SEALDAH        ,213
1852,JU BL EXPRESS  ,JODHPUR JN     ,VALSAD         ,753
1853,NZM TVC SF EXP ,H NIZAMUDDIN   ,TRIVANDRUM CNTL,3149
1854,BVC KAKINADA EX,BHAVNAGAR TRMUS,KAKINADA TOWN  ,2053
1855,HWH PUNE DURONT,HOWRAH JN      ,PUNE JN        ,2020
1856,RGDA SBP EXPRES,RAYAGADA       ,SAMBALPUR      ,322
1857,HALDIGHATI PASS,AGRA FORT      ,RATLAM JN      ,694
1858,DHANBAD EXPRESS,ALLEPPEY       ,DHANBAD JN     ,2536
1859,GKP PUNE EXP   ,GORAKHPUR JN   ,PUNE JN        ,1750
1860,BVC KCVL EXP   ,BHAVNAGAR TRMUS,KOCHUVELI      ,2569
1861,RAJGRIHA EXPRES,DANAPUR        ,RAJGIR         ,109
1862,IND DDN EXPRESS,INDORE JN BG   ,DEHRADUN       ,1183
1863,UDZ SUPER FAST ,BANDRA TERMINUS,UDAIPUR CITY   ,945
1864,GOLGUMBAZ EXP  ,SOLAPUR JN     ,MYSORE JN      ,965
1865,GKP OKHA EXPRES,GORAKHPUR JN   ,OKHA           ,2309
1866,DWR MYSORE EXP ,DHARWAR        ,MYSORE JN      ,491
1867,JP BCT DURONTO ,JAIPUR         ,MUMBAI CENTRAL ,1159
1868,BKN NED EXP    ,BIKANER JN     ,H SAHIB NANDED ,1672
1869,SHATABDI EXP   ,COIMBATORE JN  ,CHENNAI CENTRAL,497
1870,AII SDAH EXPRES,AJMER JN       ,SEALDAH        ,1642
1871,SUR DHARWAR PAS,SOLAPUR JN     ,DHARWAR        ,378
1872,TAMIL NADU EXP ,NEW DELHI      ,CHENNAI CENTRAL,2182
1873,BDTS HSR SF EXP,BANDRA TERMINUS,HISAR          ,1408
1874,PBR HOWRAH EXP ,PORBANDAR      ,HOWRAH JN      ,2551
1875,GARIB NAWAJ EXP,AJMER JN       ,KISHANGANJ     ,1835
1876,CNB BDTS SF    ,KANPUR CENTRAL ,BANDRA TERMINUS,1613
1877,DEE BKN SF EXP ,DELHI S ROHILLA,BIKANER JN     ,805
1878,CPR TATA EXP   ,CHHAPRA        ,TATANAGAR JN   ,636
1879,BPL DOUBLE DECK,INDORE JN BG   ,BHOPAL  JN     ,263
1880,SDAH  DLI EXP  ,SEALDAH        ,DELHI          ,1640
1881,NED  WKLY  EXP ,SANTRAGACHI JN ,H SAHIB NANDED ,1653
1882,SVDK BSP SPL   ,SHMATA VD KATRA,BILASPUR JN    ,1792
1883,PUNE NZB PASS  ,PUNE JN        ,NIZAMABAD      ,771
1884,MADURAI EXPRESS,CHENNAI EGMORE ,MADURAI JN     ,561
1885,DGHA VSKP EXP  ,DIGHA FLAG STN ,VISAKHAPATNAM  ,929
1886,SBC DOUBLE DECK,CHENNAI CENTRAL,BANGALORE CY JN,362
1887,TPTY PURI EXP  ,TIRUPATI       ,PURI           ,1232
1888,BSL NGP SUP EXP,BHUSAVAL JN    ,NAGPUR         ,604
1889,NDLS LKO SPL   ,NEW DELHI      ,LUCKNOW NR     ,493
1890,SA CHENNAI EXP ,SALEM JN       ,CHENNAI EGMORE ,353
1891,UDZ NDT SPL    ,UDAIPUR CITY   ,NATHDWARA      ,58
1892,MAS GARIB RATH ,H NIZAMUDDIN   ,CHENNAI CENTRAL,2176
1893,BBN CKP INT EXP,BARABIL        ,CHAKRADHARPUR  ,127
1894,ERNAKULAM EXP  ,KANNUR         ,ERNAKULAM JN   ,283
1895,CHENNAI EXP    ,KARAIKAL       ,CHENNAI EGMORE ,361
1896,BHAVNAGAR PASS ,OKHA           ,BHAVNAGAR TRMUS,538
1897,BCT DURONTO    ,NEW DELHI      ,MUMBAI CENTRAL ,1384
1898,JBP MUV EXPRESS,JABALPUR       ,MANDUADIH      ,488
1899,SATAVAHANA EXP ,SECUNDERABAD JN,VIJAYAWADA JN  ,351
1900,PRAGATI EXPRESS,PUNE JN        ,MUMBAI CST     ,189
1901,PRAYAG RAJ EXP ,NEW DELHI      ,ALLAHABAD JN   ,634
1902,KRIYA YOGA EXP ,HATIA          ,HOWRAH JN      ,423
1903,AURANGABAD PSGR,HYDERABAD DECAN,AURANGABAD     ,582
1904,SURYA NAGRI EXP,JODHPUR JN     ,BANDRA TERMINUS,935
1905,PURI HWH EXPRES,PURI           ,HOWRAH JN      ,502
1906,COROMANDEL EXP ,CHENNAI CENTRAL,HOWRAH JN      ,1662
1907,JNANESWARI DELX,LOKMANYATILAK T,HOWRAH JN      ,1952
1908,NDLS HWH EXPRES,NEW DELHI      ,HOWRAH JN      ,1447
1909,PDY CAPE EXPRES,PUDUCHERRY     ,KANYAKUMARI    ,699
1910,JYG GARIB RATH ,ANAND VIHAR TRM,JAYNAGAR       ,1252
1911,TIPPU EXPRESS  ,BANGALORE CY JN,MYSORE JN      ,139
1912,ABKP JBP EXPRES,AMBIKAPUR      ,JABALPUR       ,433
1913,LTT NANDED EXP ,LOKMANYATILAK T,H SAHIB NANDED ,733
1914,NDLS MUV SF EXP,NEW DELHI      ,MANDUADIH      ,755
1915,HWH PURI EXP   ,HOWRAH JN      ,PURI           ,502
1916,SDAH RAJDHANIEX,SEALDAH        ,NEW DELHI      ,1453
1917,HRR YPR EXP    ,HARIHAR        ,YESVANTPUR JN  ,334
1918,HW ASR JNSHTBDI,HARIDWAR JN    ,AMRITSAR JN    ,407
1919,SANGAM EXP     ,MEERUT CITY    ,ALLAHABAD JN   ,639
1920,MUV LJN EXPRESS,MANDUADIH      ,LUCKNOW NE     ,513
1921,GNT KCG  PASS  ,GUNTUR JN      ,KACHEGUDA      ,623
1922,LTT ERS DURONTO,LOKMANYATILAK T,ERNAKULAM JN   ,1599
1923,SC PBR  EXP    ,SECUNDERABAD JN,PORBANDAR      ,1694
1924,MAS NJP EXPRESS,CHENNAI CENTRAL,NEW JALPAIGURI ,2270
1925,SBP BSB EXPRESS,SAMBALPUR      ,VARANASI JN    ,896
1926,SOLAPUR EXPRESS,HUBLI JN       ,SOLAPUR JN     ,358
1927,NCJ CHENNAI EXP,NAGERCOIL JN   ,CHENNAI CENTRAL,927
1928,PADMAVATHI EXP ,TIRUPATI       ,SECUNDERABAD JN,737
1929,AZAD HIND EXP  ,HOWRAH JN      ,PUNE JN        ,2020
1930,BHUJ SHM EXP   ,BHUJ           ,SHALIMAR       ,2434
1931,G T EXPRESS    ,NEW DELHI      ,CHENNAI CENTRAL,2182
1932,RMM CAPE EXP   ,RAMESWARAM     ,KANYAKUMARI    ,407
1933,TVC CHENNAI EXP,TRIVANDRUM CNTL,CHENNAI CENTRAL,909
1934,KOVAI EXP      ,COIMBATORE JN  ,CHENNAI CENTRAL,497
1935,JOYRIDE DIESEL ,DARJEELING     ,TO DARJEELING  ,14
1936,HLZ ANVT WKLY S,HALDIA         ,ANAND VIHAR TRM,1576
1937,NDLS MLDT EXP  ,NEW DELHI      ,MALDA TOWN     ,1421
1938,MADRAS EXPRESS ,TIRUPATI       ,CHENNAI CENTRAL,151
1939,TEESTA TORSA EX,HALDIBARI      ,SEALDAH        ,628
1940,PNBE KOTA EXP  ,PATNA JN       ,KOTA JN        ,1222
1941,NS HYDRABAD EXP,NARASAPUR      ,HYDERABAD DECAN,461
1942,JU DEE SUP     ,JODHPUR JN     ,DELHI S ROHILLA,622
1943,NILAGIRI EXP   ,METUPALAIYAM   ,CHENNAI CENTRAL,532
1944,SAMARSATA EXP  ,HOWRAH JN      ,LOKMANYATILAK T,2091
1945,TIRUPATI EXPRES,MANNARGUDI     ,TIRUPATI       ,463
1946,ASR HWH MAIL   ,AMRITSAR JN    ,HOWRAH JN      ,1910
1947,LGL SDAH PASS  ,LALGOLA        ,SEALDAH        ,227
1948,JAT KOTA EXP   ,JAMMU TAWI     ,KOTA JN        ,1058
1949,NANDA DEVI EXP ,DEHRADUN       ,NEW DELHI      ,305
1950,DEE DOUBLE DCKE,JAIPUR         ,DELHI S ROHILLA,303
1951,PURI VALSAD EXP,PURI           ,VALSAD         ,2071
1952,HUSSAINSAGAR EX,HYDERABAD DECAN,MUMBAI CST     ,790
1953,TRIVANDRAM EXP ,MUMBAI CST     ,TRIVANDRUM CNTL,1959
1954,GKP ADI EXP    ,GORAKHPUR JN   ,AHMEDABAD JN   ,1573
1955,VIBHUTI EXPRESS,ALLAHABAD CITY ,HOWRAH JN      ,882
1956,JBP AMI SUP EXP,JABALPUR       ,AMRAVATI       ,726
1957,ROK NDLS EXP   ,ROHTAK JN      ,NEW DELHI      ,72
1958,YPR BIDR EXP   ,YESVANTPUR JN  ,BIDAR          ,707
1959,DDN KCVL SUP EX,DEHRADUN       ,KOCHUVELI      ,3459
1960,KOLHAPUR EXPRES,AHMEDABAD JN   ,C SHAHUMHARAJ T,961
1961,DAYODAYA EXP   ,AJMER JN       ,JABALPUR       ,1028
1962,SHM VSKP SF EXP,SHALIMAR       ,VISAKHAPATNAM  ,880
1963,ASN MAS EXPRESS,ASANSOL JN     ,CHENNAI CENTRAL,1732
1964,LKO BSB EXP    ,LUCKNOW NR     ,VARANASI JN    ,302
1965,SHATABDI EXPRES,HOWRAH JN      ,NEW JALPAIGURI ,561
1966,KGN DJ NG TRAIN,KURSEONG       ,DARJEELING     ,31
1967,MMR PUNE PASS  ,MANMAD JN      ,PUNE JN        ,313
1968,KCG MDU EXP    ,KACHEGUDA      ,MADURAI JN     ,1293
1969,PRR  VM  EXPRES,PURULIA JN     ,VILLUPURAM JN  ,1997
1970,MAHAKAUSHAL EXP,JABALPUR       ,H NIZAMUDDIN   ,961
1971,BGKT SBC EXPRES,BHAGAT KI KOTHI,BANGALORE CY JN,2201
1972,GHY PURI EXPRES,GUWAHATI       ,PURI           ,1522
1973,ABKP SDL PASS  ,AMBIKAPUR      ,SHAHDOL        ,216
1974,CDG BDTS SF EXP,CHANDIGARH     ,BANDRA TERMINUS,1605
1975,BPL HOWRAH EXP ,BHOPAL  JN     ,HOWRAH JN      ,1459
1976,DLI BE PASSENGR,DELHI          ,BAREILLY       ,274
1977,NAUCHANDI EXP  ,SAHARANPUR     ,ALLAHABAD JN   ,774
1978,NHLN GHY IC EXP,NAHARLAGUN     ,GUWAHATI       ,333
1979,PURI JU EXPRESS,PURI           ,JODHPUR JN     ,2433
1980,DHN GARIB RATH ,BHUBANESWAR    ,DHANBAD JN     ,780
1981,DAYODAYA EXPRES,JABALPUR       ,AJMER JN       ,1028
1982,NDLS  DURONTO  ,SEALDAH        ,NEW DELHI      ,1452
1983,NSL MAS WKLY EX,NAGARSOL       ,CHENNAI CENTRAL,1369
1984,BSB RMM EXPRESS,VARANASI JN    ,RAMESWARAM     ,2795
1985,JAMNAGAR INTCIT,SURAT          ,JAMNAGAR       ,561
1986,NDLS BBS SUP EX,NEW DELHI      ,BHUBANESWAR    ,1893
1987,GOLDN TEMPLE ML,AMRITSAR JN    ,MUMBAI CENTRAL ,1891
1988,KARWAR  EXP    ,BANGALORE CY JN,KARWAR         ,857
1989,PA LUCKNOW EXP ,PUNE JN        ,LUCKNOW NE     ,1480
1990,BJU GONDIA EXP ,BARAUNI JN     ,GONDIA JN      ,1523
1991,JANMABHOOMI EXP,UDHAMPUR       ,AHMEDABAD JN   ,1539
1992,HWH GAYA EXPRES,HOWRAH JN      ,GAYA JN        ,654
1993,INTERCITY EXP  ,COIMBATORE JN  ,MANGALORE CNTL ,406
1994,REWA BSP F PASS,REWA           ,BILASPUR JN    ,467
1995,JAMMU GARIB RAT,KATHGODAM      ,JAMMU TAWI     ,769
1996,GD BSB INTERCIT,GONDA JN       ,VARANASI JN    ,256
1997,LJN  MAS EXP   ,LUCKNOW NE     ,CHENNAI CENTRAL,2089
1998,AF JP SHATABDI ,AGRA FORT      ,JAIPUR         ,241
1999,BILASPUR EX PAS,BHOPAL  JN     ,BILASPUR JN    ,717
2000,VIJAYAWADA PASS,BANGALORE CANT ,VIJAYAWADA JN  ,749
2001,KONARK EXPRESS ,BHUBANESWAR    ,MUMBAI CST     ,1932
2002,YPR GORAKPUR EX,YESVANTPUR JN  ,GORAKHPUR JN   ,2517
2003,BE INDB EXPRESS,BAREILLY       ,INDORE JN BG   ,1044
2004,PASCHIM EXPRESS,KALKA          ,BANDRA TERMINUS,1676
2005,AK KCG EXP     ,AKOLA JN       ,KACHEGUDA      ,514
2006,HW ALD EXP     ,HARIDWAR JN    ,ALLAHABAD JN   ,725
2007,PURI GIMB EXP  ,PURI           ,GANDHIDHAM BG  ,2431
2008,HARIHARNATH EXP,MUZAFFARPUR JN ,AMBALA CANT JN ,1201
2009,BZA BNC PASS   ,VIJAYAWADA JN  ,BANGALORE CANT ,749
2010,YESVANTPUR  EXP,MANGALORE CNTL ,YESVANTPUR JN  ,846
2011,KOAA AGC EXPRES,KOLKATA        ,AGRA CANTT     ,1461
2012,DLI SPL        ,DARBHANGA JN   ,DELHI          ,1140
2013,PUNE DURONTO   ,AHMEDABAD JN   ,PUNE JN        ,635
2014,NDLS JBP SUP EX,NEW DELHI      ,JABALPUR       ,1038
2015,TPTY MTM NS EXP,TIRUPATI       ,MACHILIPATNAM  ,467
2016,KOP HYB EXPRESS,C SHAHUMHARAJ T,HYDERABAD DECAN,998
2017,MAS ADI EXPRESS,CHENNAI CENTRAL,AHMEDABAD JN   ,1723
2018,GANGASAGAR EXP ,SEALDAH        ,JAYNAGAR       ,624
2019,SC VSKP SPL    ,SECUNDERABAD JN,VISAKHAPATNAM  ,701
2020,NARMADA EXPRESS,INDORE JN BG   ,BILASPUR JN    ,1010
2021,BJP BB FAST PAS,BIJAPUR        ,MUMBAI CST     ,564
2022,ANVT MAU EXP   ,ANAND VIHAR TRM,MAU JN         ,833
2023,BSB CDG SPECIAL,VARANASI JN    ,CHANDIGARH     ,951
2024,BANGLORE RJDHNI,H NIZAMUDDIN   ,BANGALORE CY JN,2365
2025,YPR  INDB EXP  ,YESVANTPUR JN  ,INDORE JN BG   ,1910
2026,PUSHKARAM SPL  ,VIZIANAGRAM JN ,TIRUPATI       ,797
2027,KOSHI EXP      ,PATNA JN       ,MURLIGANJ      ,264
2028,PURI DIGHA EXP ,PURI           ,DIGHA FLAG STN ,549
2029,ERS LTT DURONTO,ERNAKULAM JN   ,LOKMANYATILAK T,1598
2030,RAYAGADA PSGNR ,VIJAYAWADA JN  ,RAYAGADA       ,536
2031,MLDT ST EXP    ,MALDA TOWN     ,SURAT          ,2126
2032,VELANKANNI EXP ,VASCO DA GAMA  ,VELLANKANNI    ,1315
2033,MAQ CHENNAI EXP,MANGALORE CNTL ,CHENNAI EGMORE ,983
2034,CNB ANVT EXP   ,KANPUR CENTRAL ,ANAND VIHAR TRM,479
2035,JAIPUR SUP FAST,BANDRA TERMINUS,JAIPUR         ,1148
2036,PUNE INDORE EXP,PUNE JN        ,INDORE JN BG   ,972
2037,JHS BDTS EXP   ,JHANSI JN      ,BANDRA TERMINUS,1318
2038,TEN CHENNAI EXP,TIRUNELVELI    ,CHENNAI EGMORE ,653
2039,SGRL  INTERCITY,JABALPUR       ,SINGRAULI      ,352
2040,BILASPUR RJDHNI,NEW DELHI      ,BILASPUR JN    ,1501
2041,GKP SC EXPRESS ,GORAKHPUR JN   ,SECUNDERABAD JN,1829
2042,JAT INDB SF EXP,JAMMU TAWI     ,INDORE JN BG   ,1408
2043,ABS JU PASSENGR,ABOHAR         ,JODHPUR JN     ,675
2044,JAT CNB EXP    ,JAMMU TAWI     ,KANPUR CENTRAL ,1017
2045,VAISHALI EXP   ,NEW DELHI      ,BARAUNI JN     ,1185
2046,PURI CHENNAI EX,PURI           ,CHENNAI CENTRAL,1248
2047,REWA ANVT EXP  ,REWA           ,ANAND VIHAR TRM,847
2048,CDG ASR SUP    ,CHANDIGARH     ,AMRITSAR JN    ,248
2049,RJPB RAJDHANI  ,NEW DELHI      ,RAJENDRANAGAR T,1001
2050,BOLARUM PASSR  ,BIJAPUR        ,BOLARUM        ,456
2051,JBP NIR NGP PAS,JABALPUR       ,NAGPUR         ,398
2052,AHMADABAD EXP  ,YESVANTPUR JN  ,AHMEDABAD JN   ,1796
2053,NZM LINK EXP   ,HUBLI JN       ,H NIZAMUDDIN   ,2147
2054,SABARI EXPRESS ,TRIVANDRUM CNTL,HYDERABAD DECAN,1568
2055,ANUVRATEXPRESS ,CHENNAI CENTRAL,BIKANER JN     ,2565
2056,POORBIYA EXP   ,SAHARSA JN     ,ADRSH NGR DELHI,1210
2057,MFP LTT EXPRESS,MUZAFFARPUR JN ,LOKMANYATILAK T,1790
2058,PURI KDJR EXP  ,PURI           ,BARABIL        ,398
2059,VSG CHENNAI EXP,VASCO DA GAMA  ,CHENNAI CENTRAL,1070
2060,SANGHAMITRA EXP,BANGALORE CY JN,PATNA JN       ,2729
2061,DLI JSM EXPRESS,DELHI          ,JAISALMER      ,921
2062,ASR CNB EXPRESS,AMRITSAR JN    ,KANPUR CENTRAL ,898
2063,LJN SWRAN SHTBD,NEW DELHI      ,LUCKNOW NE     ,511
2064,AII JAN SHATABD,H NIZAMUDDIN   ,AJMER JN       ,386
2065,ANGA EXPRESS   ,BHAGALPUR      ,YESVANTPUR JN  ,2488
2066,BVC ST LINK EXP,BHAVNAGAR TRMUS,SURAT          ,526
2067,AII DURG EXP   ,AJMER JN       ,DURG           ,1403
2068,PRATHAM S SNGRM,JHANSI JN      ,KOLKATA        ,1325
2069,CSTM CSN T F SP,MUMBAI CST     ,CHALISGAON JN  ,328
2070,ALA HAZRAT EXP ,BHUJ           ,BAREILLY       ,1543
2071,NED VSKP EXP   ,H SAHIB NANDED ,VISAKHAPATNAM  ,973
2072,KYQ KUMBH SPL  ,PUNE JN        ,KAMAKHYA       ,2888
2073,GNT SC EXP     ,GUNTUR JN      ,SECUNDERABAD JN,383
2074,TATA ALLP EXP  ,TATANAGAR JN   ,ALLEPPEY       ,2358
2075,YPR S KRNTI EXP,H NIZAMUDDIN   ,YESVANTPUR JN  ,2610
2076,AWB RU EXPRESS ,AURANGABAD     ,RENIGUNTA JN   ,1159
2077,BBS CHENNAI EXP,BHUBANESWAR    ,CHENNAI CENTRAL,1223
2078,HTE YPR EXP    ,HATIA          ,YESVANTPUR JN  ,1901
2079,PUNE INTERCITY ,SOLAPUR JN     ,PUNE JN        ,264
2080,VISWAVARATI PAS,HOWRAH JN      ,RAMPUR HAT     ,219
2081,NAGAVALI EXPRES,SAMBALPUR      ,H SAHIB NANDED ,1479
2082,GANGA GOMTI EXP,LUCKNOW NR     ,ALLAHABAD JN   ,201
2083,SHRAMJEEVI EXP ,RAJGIR         ,NEW DELHI      ,1103
2084,ARAVALI EXPRESS,JAIPUR         ,BANDRA TERMINUS,1107
2085,NGP REWA EXP   ,NAGPUR         ,REWA           ,781
2086,TIRUPATHY EXP  ,CHENNAI CENTRAL,TIRUPATI       ,151
2087,PUSHPAK EXPRESS,MUMBAI CST     ,LUCKNOW NE     ,1428
2088,JSME KOAA PGS  ,JASIDIH JN     ,KOLKATA        ,326
2089,DBG LTT EXPRESS,DARBHANGA JN   ,LOKMANYATILAK T,1880
2090,CHRM REWA F PGR,CHIRMIRI       ,REWA           ,402
2091,ALD JP EXPRESS ,ALLAHABAD JN   ,JAIPUR         ,780
2092,VERAVAL EXPRESS,TRIVANDRUM CNTL,VERAVAL        ,2709
2093,BLGR  EXPRESS  ,BHUBANESWAR    ,BALANGIR       ,397
2094,SRC TPTY SF EXP,SANTRAGACHI JN ,TIRUPATI       ,1611
2095,GANGA SAGAR EXP,JAYNAGAR       ,SEALDAH        ,624
2096,PNBE HTE EXPRES,PATNA JN       ,HATIA          ,418
2097,NAGPUR INTERCIT,BILASPUR JN    ,NAGPUR         ,411
2098,SBC JODHPUR EXP,BANGALORE CY JN,JODHPUR JN     ,2187
2099,SURAT INTERCITY,HAPA           ,SURAT          ,552
2100,SNSI BZA EXP   ,SAINAGAR SHIRDI,VIJAYAWADA JN  ,1127
2101,KOAA AMH EXPRES,KOLKATA        ,AZAMGARH       ,787
2102,A P EXPRESS    ,NEW DELHI      ,HYDERABAD DECAN,1677
2103,BBS TPTY SUP EX,BHUBANESWAR    ,TIRUPATI       ,1179
2104,SDL ABKP PASS  ,SHAHDOL        ,AMBIKAPUR      ,216
2105,SHM BHUJ  SF EX,SHALIMAR       ,BHUJ           ,2434
2106,DBG HYB EXPRESS,RAXAUL JN      ,HYDERABAD DECAN,2165
2107,KARNAVATI EXP  ,AHMEDABAD JN   ,MUMBAI CENTRAL ,491
2108,HAPA JAT EXPRES,HAPA           ,JAMMU TAWI     ,1992
2109,ADI VARANASI EX,AHMEDABAD JN   ,VARANASI JN    ,1704
2110,BSL ST BCT PASS,BHUSAVAL JN    ,SURAT          ,336
2111,CDG LKO EXPRESS,CHANDIGARH     ,LUCKNOW NR     ,667
2112,GKP ANVT EXP   ,GORAKHPUR JN   ,ANAND VIHAR TRM,750
2113,VENAD EXPRESS  ,TRIVANDRUM CNTL,SHORANUR JN    ,327
2114,PANCHAVATI EXP ,MUMBAI CST     ,MANMAD JN      ,261
2115,MUV  INTERCITY ,CHHAPRA        ,MANDUADIH      ,231
